;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;COERÊNCIA
1;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora ;
2;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa ;
3;1;;a apresentadora ; é;Xuxa ;
4;1;;Arraiá de a Xuxa ; foi;a décima turnê ;
5;1;;Arraiá de a Xuxa ; foi;a décima turnê de a apresentadora ;
6;1;;Arraiá de a Xuxa ; foi;de a apresentadora e cantora ;
7;1;;Arraiá de a Xuxa ; foi;de a apresentadora e cantora Xuxa ;
8;1;;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum Arraiá ;
9;1;;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum Arraiá de a Xuxa ;
10;1;;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum de a Xuxa ;
11;1;;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora ;
12;1;;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa ;
13;1;;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá ;
14;1;;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa ;
15;1;;Arraiá de a Xuxa ; foi a décima turnê;de cantora ;
16;1;;Arraiá de a Xuxa ; foi a décima turnê;de cantora Xuxa ;
17;1;;Arraiá de a Xuxa ; foi a décima turnê;e cantora Xuxa ;
18;1;;cantora ; é;Xuxa ;
19;1;;e cantora ; é;Xuxa ;
20;1;;o álbum ; é;Arraiá ;
21;1;;o álbum ; é;Arraiá de a Xuxa ;
22;2;O World Fantasy Award é entregue durante o evento . ;O World Fantasy Award ; é;entregue durante o evento ;
23;2;O World Fantasy Award é entregue durante o evento . ;O World Fantasy Award ; é entregue;durante o evento ;
24;3;en o norte se inicia en a tríplice fronteira de os dois países com o sul de Burkina Faso e vai até o sul , en o porto ganês de Beyin , en o litoral de o Golfo de a Guiné ( Oceano Atlântico ) . ;en o litoral de o Golfo de a Guiné ; é;( Oceano Atlântico ) ;
