;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;COERÊNCIA;MINIMALIDADE;sistemas
1;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;a apresentadora ; é;Xuxa ;;;stanford
2;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi;a décima turnê ;;;stanford, orange, mquni, dptoie
3;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi;a décima turnê de a apresentadora ;;;lys
4;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi;de a apresentadora e cantora ;;;stanford
5;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi;de a apresentadora e cantora Xuxa ;;;orange, mquni, dptoie
6;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum Arraiá ;;;lys
7;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum Arraiá de a Xuxa ;;;stanford, orange, mquni, dptoie
8;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum de a Xuxa ;;;lys
9;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora ;;;stanford, orange, mquni, lys, dptoie
10;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa ;;;stanford, orange, mquni, lys, dptoie
11;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá ;;;lys
12;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa ;;;stanford, orange, mquni, lys, dptoie
13;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de cantora ;;;stanford
14;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de cantora Xuxa ;;;orange, mquni, dptoie
15;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;e cantora Xuxa ;;;lys
16;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;cantora ; é;Xuxa ;;;orange, mquni, dptoie
17;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;e cantora ; é;Xuxa ;;;lys
18;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;o álbum ; é;Arraiá ;;;lys
19;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;o álbum ; é;Arraiá de a Xuxa ;;;stanford, orange, mquni, dptoie
20;2;O World Fantasy Award é entregue durante o evento . ;O World Fantasy Award ; é;entregue durante o evento ;;;mquni
21;2;O World Fantasy Award é entregue durante o evento . ;O World Fantasy Award ; é entregue;durante o evento ;;;stanford, orange, lys, dptoie
22;3;en o norte se inicia en a tríplice fronteira de os dois países com o sul de Burkina Faso e vai até o sul , en o porto ganês de Beyin , en o litoral de o Golfo de a Guiné ( Oceano Atlântico ) . ;en o litoral de o Golfo de a Guiné ; é;( Oceano Atlântico ) ;;;orange, lys
23;3;en o norte se inicia en a tríplice fronteira de os dois países com o sul de Burkina Faso e vai até o sul , en o porto ganês de Beyin , en o litoral de o Golfo de a Guiné ( Oceano Atlântico ) . ;o Golfo de a Guiné ; é;( Oceano Atlântico ) ;;;stanford, mquni, dptoie
24;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;;;;;;stanford
25;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; prestando -;a as suas pequenas exigências ;;;dptoie
26;4;De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ;a afeição de Pedroca “ ; procurando;contentá - lo ;;;orange, dptoie
