excluida;linha;ID.SENTENÇA;SENTENÇA;ARG1;REL;ARG2;AVALIADOR.3;AVALIADOR.2;AVALIADOR.1;VOTO.COERENTE;VOTO.INCOERENTE;COERENCIA.FINAL;dptOIE;stanford;orange;mquni;lys;sistemas;COERÊNCIA
;1;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;a apresentadora ; é;Xuxa ;1;1;1;3;0;1;0;1;0;0;0;stanford;1
;2;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi;a décima turnê ;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie;1
;3;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi;a décima turnê de a apresentadora ;1;1;1;3;0;1;0;0;0;0;1;lys;1
;4;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi;de a apresentadora e cantora ;0;0;0;0;3;0;0;1;0;0;0;stanford;0
;5;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi;de a apresentadora e cantora Xuxa ;0;0;0;0;3;0;1;0;1;1;0;orange, mquni, dptoie;0
;6;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum Arraiá ;0;0;1;1;2;0;0;0;0;0;1;lys;1
;7;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum Arraiá de a Xuxa ;1;1;1;3;0;1;1;1;1;1;0;stanford, orange, mquni, dptoie;1
;8;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;baseada en o álbum de a Xuxa ;0;0;1;1;2;0;0;0;0;0;1;lys;1
;9;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora ;0;1;1;2;1;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
;10;1;Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ;Arraiá de a Xuxa ; foi a décima turnê;de a apresentadora e cantora Xuxa ;1;1;1;3;0;1;1;1;1;1;1;stanford, orange, mquni, lys, dptoie;1
