linha;dptOIE;coerencia;yield;precisao
2;1;1;1;1
5;1;0;1;0.5
7;1;1;2;0.666666667
9;1;1;3;0.75
10;1;1;4;0.8
12;1;1;5;0.833333333
14;1;1;6;0.857142857
16;1;1;7;0.875
19;1;1;8;0.888888889
21;1;1;9;0.9
23;1;0;9;0.818181818
25;1;0;9;0.75
26;1;0;9;0.692307692
27;1;0;9;0.642857143
32;1;0;9;0.6
33;1;0;9;0.5625
34;1;0;9;0.529411765
35;1;0;9;0.5
36;1;0;9;0.473684211
63;1;1;10;0.5
64;1;0;10;0.476190476
66;1;1;11;0.5
67;1;1;12;0.52173913
68;1;1;13;0.541666667
69;1;1;14;0.56
72;1;0;14;0.538461538
73;1;0;14;0.518518519
78;1;0;14;0.5
79;1;1;15;0.517241379
87;1;1;16;0.533333333
88;1;1;17;0.548387097
90;1;1;18;0.5625
98;1;1;19;0.575757576
99;1;1;20;0.588235294
100;1;1;21;0.6
101;1;1;22;0.611111111
103;1;1;23;0.621621622
108;1;1;24;0.631578947
110;1;1;25;0.641025641
118;1;1;26;0.65
121;1;1;27;0.658536585
122;1;1;28;0.666666667
123;1;1;29;0.674418605
127;1;0;29;0.659090909
130;1;0;29;0.644444444
133;1;1;30;0.652173913
137;1;1;31;0.659574468
138;1;1;32;0.666666667
142;1;0;32;0.653061224
144;1;1;33;0.66
145;1;0;33;0.647058824
149;1;1;34;0.653846154
161;1;1;35;0.660377358
162;1;0;35;0.648148148
163;1;1;36;0.654545455
164;1;0;36;0.642857143
165;1;1;37;0.649122807
173;1;1;38;0.655172414
178;1;0;38;0.644067797
182;1;0;38;0.633333333
183;1;0;38;0.62295082
184;1;0;38;0.612903226
185;1;0;38;0.603174603
186;1;0;38;0.59375
187;1;0;38;0.584615385
188;1;0;38;0.575757576
189;1;0;38;0.567164179
190;1;0;38;0.558823529
206;1;1;39;0.565217391
210;1;0;39;0.557142857
212;1;0;39;0.549295775
213;1;1;40;0.555555556
214;1;1;41;0.561643836
215;1;0;41;0.554054054
216;1;1;42;0.56
217;1;1;43;0.565789474
220;1;0;43;0.558441558
221;1;0;43;0.551282051
225;1;1;44;0.556962025
226;1;1;45;0.5625
227;1;1;46;0.567901235
232;1;1;47;0.573170732
233;1;0;47;0.56626506
237;1;1;48;0.571428571
238;1;0;48;0.564705882
240;1;0;48;0.558139535
241;1;0;48;0.551724138
242;1;0;48;0.545454545
245;1;0;48;0.539325843
247;1;0;48;0.533333333
248;1;1;49;0.538461538
252;1;1;50;0.543478261
253;1;1;51;0.548387097
257;1;1;52;0.553191489
261;1;1;53;0.557894737
267;1;0;53;0.552083333
268;1;0;53;0.546391753
269;1;1;54;0.551020408
270;1;1;55;0.555555556
285;1;1;56;0.56
287;1;1;57;0.564356436
288;1;0;57;0.558823529
289;1;0;57;0.553398058
290;1;0;57;0.548076923
291;1;1;58;0.552380952
292;1;1;59;0.556603774
293;1;1;60;0.560747664
294;1;1;61;0.564814815
295;1;1;62;0.568807339
296;1;1;63;0.572727273
297;1;0;63;0.567567568
298;1;1;64;0.571428571
299;1;1;65;0.575221239
314;1;1;66;0.578947368
316;1;1;67;0.582608696
317;1;1;68;0.586206897
318;1;1;69;0.58974359
319;1;1;70;0.593220339
320;1;1;71;0.596638655
321;1;1;72;0.6
322;1;1;73;0.603305785
323;1;1;74;0.606557377
324;1;1;75;0.609756098
325;1;1;76;0.612903226
326;1;1;77;0.616
327;1;1;78;0.619047619
329;1;1;79;0.622047244
330;1;1;80;0.625
334;1;0;80;0.620155039
335;1;0;80;0.615384615
336;1;0;80;0.610687023
338;1;0;80;0.606060606
342;1;0;80;0.601503759
343;1;1;81;0.604477612
344;1;1;82;0.607407407
345;1;1;83;0.610294118
346;1;1;84;0.613138686
347;1;1;85;0.615942029
348;1;1;86;0.618705036
349;1;1;87;0.621428571
350;1;1;88;0.624113475
351;1;1;89;0.626760563
355;1;1;90;0.629370629
367;1;0;90;0.625
369;1;0;90;0.620689655
370;1;0;90;0.616438356
371;1;0;90;0.612244898
372;1;0;90;0.608108108
376;1;1;91;0.610738255
382;1;1;92;0.613333333
386;1;1;93;0.61589404
387;1;1;94;0.618421053
388;1;1;95;0.620915033
416;1;0;95;0.616883117
426;1;0;95;0.612903226
427;1;1;96;0.615384615
428;1;1;97;0.617834395
429;1;0;97;0.613924051
430;1;0;97;0.610062893
431;1;1;98;0.6125
432;1;0;98;0.608695652
433;1;0;98;0.604938272
434;1;1;99;0.607361963
435;1;0;99;0.603658537
436;1;0;99;0.6
441;1;0;99;0.596385542
442;1;1;100;0.598802395
443;1;0;100;0.595238095
444;1;1;101;0.597633136
472;1;1;102;0.6
473;1;1;103;0.602339181
474;1;1;104;0.604651163
475;1;1;105;0.606936416
490;1;0;105;0.603448276
491;1;0;105;0.6
492;1;0;105;0.596590909
493;1;0;105;0.593220339
494;1;1;106;0.595505618
500;1;1;107;0.597765363
501;1;1;108;0.6
502;1;1;109;0.602209945
