linha;lys;coerencia;yield;precisao
3;1;1;1;1
6;1;0;1;0.5
8;1;0;1;0.333333333
9;1;1;2;0.5
10;1;1;3;0.6
11;1;0;3;0.5
12;1;1;4;0.571428571
15;1;0;4;0.5
17;1;0;4;0.444444444
18;1;0;4;0.4
21;1;1;5;0.454545455
22;1;0;5;0.416666667
53;1;1;6;0.461538462
54;1;1;7;0.5
55;1;0;7;0.466666667
56;1;0;7;0.4375
57;1;0;7;0.411764706
58;1;0;7;0.388888889
59;1;0;7;0.368421053
60;1;0;7;0.35
61;1;0;7;0.333333333
62;1;0;7;0.318181818
63;1;1;8;0.347826087
64;1;0;8;0.333333333
66;1;1;9;0.36
67;1;1;10;0.384615385
68;1;1;11;0.407407407
69;1;1;12;0.428571429
71;1;0;12;0.413793103
72;1;0;12;0.4
73;1;0;12;0.387096774
77;1;1;13;0.40625
84;1;0;13;0.393939394
85;1;0;13;0.382352941
87;1;1;14;0.4
88;1;1;15;0.416666667
90;1;1;16;0.432432432
97;1;0;16;0.421052632
98;1;1;17;0.435897436
99;1;1;18;0.45
100;1;1;19;0.463414634
102;1;1;20;0.476190476
104;1;0;20;0.465116279
108;1;1;21;0.477272727
112;1;0;21;0.466666667
113;1;1;22;0.47826087
114;1;0;22;0.468085106
115;1;1;23;0.479166667
116;1;0;23;0.469387755
117;1;0;23;0.46
119;1;1;24;0.470588235
120;1;1;25;0.480769231
122;1;1;26;0.490566038
123;1;1;27;0.5
131;1;1;28;0.509090909
133;1;1;29;0.517857143
134;1;0;29;0.50877193
135;1;0;29;0.5
138;1;1;30;0.508474576
140;1;0;30;0.5
141;1;1;31;0.508196721
143;1;1;32;0.516129032
145;1;0;32;0.507936508
147;1;0;32;0.5
149;1;1;33;0.507692308
151;1;0;33;0.5
152;1;0;33;0.492537313
153;1;0;33;0.485294118
154;1;0;33;0.47826087
155;1;0;33;0.471428571
175;1;0;33;0.464788732
176;1;0;33;0.458333333
177;1;0;33;0.452054795
178;1;0;33;0.445945946
179;1;0;33;0.44
180;1;0;33;0.434210526
181;1;0;33;0.428571429
190;1;0;33;0.423076923
198;1;1;34;0.430379747
199;1;0;34;0.425
200;1;0;34;0.419753086
201;1;1;35;0.426829268
203;1;1;36;0.43373494
204;1;1;37;0.44047619
205;1;1;38;0.447058824
206;1;1;39;0.453488372
209;1;0;39;0.448275862
213;1;1;40;0.454545455
216;1;1;41;0.460674157
219;1;0;41;0.455555556
220;1;0;41;0.450549451
225;1;1;42;0.456521739
226;1;1;43;0.462365591
228;1;1;44;0.468085106
229;1;1;45;0.473684211
231;1;0;45;0.46875
232;1;1;46;0.474226804
233;1;0;46;0.469387755
237;1;1;47;0.474747475
240;1;0;47;0.47
248;1;1;48;0.475247525
252;1;1;49;0.480392157
256;1;0;49;0.475728155
257;1;1;50;0.480769231
258;1;0;50;0.476190476
259;1;0;50;0.471698113
267;1;0;50;0.46728972
268;1;0;50;0.462962963
269;1;1;51;0.467889908
270;1;1;52;0.472727273
272;1;0;52;0.468468468
281;1;0;52;0.464285714
282;1;0;52;0.460176991
299;1;1;53;0.464912281
300;1;1;54;0.469565217
301;1;1;55;0.474137931
302;1;0;55;0.47008547
303;1;1;56;0.474576271
304;1;1;57;0.478991597
305;1;0;57;0.475
313;1;1;58;0.479338843
314;1;1;59;0.483606557
315;1;1;60;0.487804878
317;1;1;61;0.491935484
318;1;1;62;0.496
319;1;1;63;0.5
