linha;mquni;coerencia;yield;precisao
2;1;1;1;1
5;1;0;1;0.5
7;1;1;2;0.666666667
9;1;1;3;0.75
10;1;1;4;0.8
12;1;1;5;0.833333333
14;1;1;6;0.857142857
16;1;1;7;0.875
19;1;1;8;0.888888889
20;1;1;9;0.9
23;1;0;9;0.818181818
37;1;0;9;0.75
38;1;0;9;0.692307692
39;1;1;10;0.714285714
40;1;1;11;0.733333333
41;1;0;11;0.6875
42;1;1;12;0.705882353
43;1;1;13;0.722222222
44;1;1;14;0.736842105
45;1;1;15;0.75
46;1;0;15;0.714285714
47;1;0;15;0.681818182
64;1;0;15;0.652173913
65;1;0;15;0.625
66;1;1;16;0.64
67;1;1;17;0.653846154
68;1;1;18;0.666666667
69;1;1;19;0.678571429
70;1;0;19;0.655172414
72;1;0;19;0.633333333
73;1;0;19;0.612903226
76;1;1;20;0.625
80;1;0;20;0.606060606
81;1;0;20;0.588235294
87;1;1;21;0.6
88;1;1;22;0.611111111
90;1;1;23;0.621621622
98;1;1;24;0.631578947
99;1;1;25;0.641025641
100;1;1;26;0.65
101;1;1;27;0.658536585
103;1;1;28;0.666666667
108;1;1;29;0.674418605
109;1;0;29;0.659090909
110;1;1;30;0.666666667
111;1;0;30;0.652173913
117;1;0;30;0.638297872
124;1;1;31;0.645833333
125;1;1;32;0.653061224
126;1;1;33;0.66
128;1;0;33;0.647058824
130;1;0;33;0.634615385
133;1;1;34;0.641509434
137;1;1;35;0.648148148
139;1;1;36;0.654545455
141;1;1;37;0.660714286
144;1;1;38;0.666666667
147;1;0;38;0.655172414
148;1;0;38;0.644067797
149;1;1;39;0.65
156;1;1;40;0.655737705
157;1;0;40;0.64516129
158;1;1;41;0.650793651
159;1;0;41;0.640625
160;1;1;42;0.646153846
171;1;0;42;0.636363636
173;1;1;43;0.641791045
178;1;0;43;0.632352941
192;1;0;43;0.623188406
193;1;0;43;0.614285714
207;1;1;44;0.61971831
208;1;1;45;0.625
213;1;1;46;0.630136986
214;1;1;47;0.635135135
217;1;1;48;0.64
222;1;0;48;0.631578947
223;1;0;48;0.623376623
224;1;0;48;0.615384615
225;1;1;49;0.620253165
226;1;1;50;0.625
228;1;1;51;0.62962963
229;1;1;52;0.634146341
231;1;0;52;0.626506024
232;1;1;53;0.630952381
233;1;0;53;0.623529412
237;1;1;54;0.627906977
239;1;1;55;0.632183908
240;1;0;55;0.625
241;1;0;55;0.617977528
247;1;0;55;0.611111111
248;1;1;56;0.615384615
250;1;0;56;0.608695652
252;1;1;57;0.612903226
255;1;0;57;0.606382979
267;1;0;57;0.6
268;1;0;57;0.59375
269;1;1;58;0.597938144
270;1;1;59;0.602040816
271;1;0;59;0.595959596
272;1;0;59;0.59
273;1;0;59;0.584158416
274;1;0;59;0.578431373
275;1;0;59;0.572815534
276;1;0;59;0.567307692
277;1;0;59;0.561904762
281;1;0;59;0.556603774
285;1;1;60;0.560747664
299;1;1;61;0.564814815
300;1;1;62;0.568807339
301;1;1;63;0.572727273
303;1;1;64;0.576576577
304;1;1;65;0.580357143
306;1;0;65;0.575221239
307;1;0;65;0.570175439
308;1;0;65;0.565217391
309;1;0;65;0.560344828
310;1;0;65;0.555555556
311;1;0;65;0.550847458
312;1;0;65;0.546218487
313;1;1;66;0.55
314;1;1;67;0.553719008
315;1;1;68;0.557377049
317;1;1;69;0.56097561
318;1;1;70;0.564516129
319;1;1;71;0.568
320;1;1;72;0.571428571
321;1;1;73;0.57480315
322;1;1;74;0.578125
323;1;1;75;0.581395349
324;1;1;76;0.584615385
325;1;1;77;0.58778626
326;1;1;78;0.590909091
327;1;1;79;0.593984962
328;1;0;79;0.589552239
329;1;1;80;0.592592593
331;1;0;80;0.588235294
336;1;0;80;0.583941606
337;1;0;80;0.579710145
338;1;0;80;0.575539568
343;1;1;81;0.578571429
344;1;1;82;0.581560284
345;1;1;83;0.584507042
346;1;1;84;0.587412587
347;1;1;85;0.590277778
348;1;1;86;0.593103448
349;1;1;87;0.595890411
350;1;1;88;0.598639456
351;1;1;89;0.601351351
353;1;1;90;0.604026846
355;1;1;91;0.606666667
409;1;0;91;0.602649007
415;1;0;91;0.598684211
426;1;0;91;0.594771242
427;1;1;92;0.597402597
428;1;1;93;0.6
449;1;1;94;0.602564103
450;1;1;95;0.605095541
451;1;0;95;0.601265823
452;1;1;96;0.603773585
454;1;0;96;0.6
455;1;0;96;0.596273292
456;1;0;96;0.592592593
466;1;0;96;0.588957055
467;1;1;97;0.591463415
470;1;1;98;0.593939394
472;1;1;99;0.596385542
473;1;1;100;0.598802395
474;1;1;101;0.601190476
475;1;1;102;0.603550296
494;1;1;103;0.605882353
498;1;1;104;0.608187135
499;1;0;104;0.604651163
500;1;1;105;0.606936416
501;1;1;106;0.609195402
502;1;1;107;0.611428571
504;1;1;108;0.613636364
505;1;1;109;0.615819209
506;1;1;110;0.617977528
507;1;1;111;0.620111732
508;1;1;112;0.622222222
509;1;1;113;0.624309392
