linha;orange;coerencia;yield;precisao
2;1;1;1;1
5;1;0;1;0.5
7;1;1;2;0.666666667
9;1;1;3;0.75
10;1;1;4;0.8
12;1;1;5;0.833333333
14;1;1;6;0.857142857
16;1;1;7;0.875
19;1;1;8;0.888888889
21;1;1;9;0.9
22;1;0;9;0.818181818
26;1;0;9;0.75
27;1;0;9;0.692307692
28;1;0;9;0.642857143
29;1;0;9;0.6
30;1;0;9;0.5625
31;1;0;9;0.529411765
48;1;1;10;0.555555556
49;1;1;11;0.578947368
50;1;1;12;0.6
51;1;0;12;0.571428571
52;1;0;12;0.545454545
63;1;1;13;0.565217391
64;1;0;13;0.541666667
66;1;1;14;0.56
67;1;1;15;0.576923077
68;1;1;16;0.592592593
69;1;1;17;0.607142857
71;1;0;17;0.586206897
72;1;0;17;0.566666667
73;1;0;17;0.548387097
77;1;1;18;0.5625
84;1;0;18;0.545454545
85;1;0;18;0.529411765
87;1;1;19;0.542857143
88;1;1;20;0.555555556
90;1;1;21;0.567567568
91;1;0;21;0.552631579
92;1;1;22;0.564102564
93;1;1;23;0.575
94;1;1;24;0.585365854
95;1;1;25;0.595238095
96;1;0;25;0.581395349
106;1;1;26;0.590909091
108;1;1;27;0.6
110;1;1;28;0.608695652
118;1;1;29;0.617021277
119;1;1;30;0.625
122;1;1;31;0.632653061
123;1;1;32;0.64
129;1;0;32;0.62745098
131;1;1;33;0.634615385
132;1;1;34;0.641509434
133;1;1;35;0.648148148
137;1;1;36;0.654545455
141;1;1;37;0.660714286
143;1;1;38;0.666666667
145;1;0;38;0.655172414
149;1;1;39;0.661016949
166;1;1;40;0.666666667
167;1;0;40;0.655737705
168;1;1;41;0.661290323
169;1;0;41;0.650793651
170;1;1;42;0.65625
181;1;0;42;0.646153846
190;1;0;42;0.636363636
193;1;0;42;0.626865672
205;1;1;43;0.632352941
206;1;1;44;0.637681159
207;1;1;45;0.642857143
210;1;0;45;0.633802817
211;1;0;45;0.625
213;1;1;46;0.630136986
214;1;1;47;0.635135135
216;1;1;48;0.64
217;1;1;49;0.644736842
218;1;0;49;0.636363636
225;1;1;50;0.641025641
226;1;1;51;0.64556962
228;1;1;52;0.65
229;1;1;53;0.654320988
230;1;1;54;0.658536585
232;1;1;55;0.662650602
233;1;0;55;0.654761905
237;1;1;56;0.658823529
240;1;0;56;0.651162791
241;1;0;56;0.643678161
242;1;0;56;0.636363636
245;1;0;56;0.629213483
247;1;0;56;0.622222222
248;1;1;57;0.626373626
250;1;0;57;0.619565217
252;1;1;58;0.623655914
253;1;1;59;0.627659574
257;1;1;60;0.631578947
261;1;1;61;0.635416667
265;1;1;62;0.639175258
268;1;0;62;0.632653061
269;1;1;63;0.636363636
270;1;1;64;0.64
283;1;1;65;0.643564356
299;1;1;66;0.647058824
300;1;1;67;0.650485437
301;1;1;68;0.653846154
303;1;1;69;0.657142857
304;1;1;70;0.660377358
313;1;1;71;0.663551402
314;1;1;72;0.666666667
315;1;1;73;0.669724771
317;1;1;74;0.672727273
318;1;1;75;0.675675676
319;1;1;76;0.678571429
320;1;1;77;0.681415929
321;1;1;78;0.684210526
322;1;1;79;0.686956522
323;1;1;80;0.689655172
324;1;1;81;0.692307692
325;1;1;82;0.694915254
326;1;1;83;0.697478992
327;1;1;84;0.7
328;1;0;84;0.694214876
329;1;1;85;0.696721311
331;1;0;85;0.691056911
332;1;0;85;0.685483871
335;1;0;85;0.68
336;1;0;85;0.674603175
343;1;1;86;0.677165354
344;1;1;87;0.6796875
345;1;1;88;0.682170543
346;1;1;89;0.684615385
347;1;1;90;0.687022901
348;1;1;91;0.689393939
349;1;1;92;0.691729323
350;1;1;93;0.694029851
351;1;1;94;0.696296296
354;1;0;94;0.691176471
355;1;1;95;0.693430657
408;1;0;95;0.688405797
426;1;0;95;0.683453237
427;1;1;96;0.685714286
437;1;1;97;0.687943262
438;1;1;98;0.690140845
439;1;1;99;0.692307692
440;1;1;100;0.694444444
443;1;0;100;0.689655172
444;1;1;101;0.691780822
445;1;0;101;0.68707483
446;1;0;101;0.682432432
447;1;0;101;0.677852349
448;1;0;101;0.673333333
463;1;0;101;0.668874172
465;1;0;101;0.664473684
467;1;1;102;0.666666667
468;1;0;102;0.662337662
469;1;0;102;0.658064516
470;1;1;103;0.66025641
471;1;0;103;0.656050955
472;1;1;104;0.658227848
473;1;1;105;0.660377358
474;1;1;106;0.6625
475;1;1;107;0.664596273
494;1;1;108;0.666666667
496;1;1;109;0.668711656
497;1;1;110;0.670731707
500;1;1;111;0.672727273
501;1;1;112;0.674698795
502;1;1;113;0.676646707
503;1;1;114;0.678571429
504;1;1;115;0.680473373
508;1;1;116;0.682352941
518;1;1;117;0.684210526
519;1;1;118;0.686046512
520;1;1;119;0.687861272
521;1;1;120;0.689655172
533;1;0;120;0.685714286
534;1;0;120;0.681818182
535;1;0;120;0.677966102
536;1;0;120;0.674157303
537;1;1;121;0.675977654
538;1;1;122;0.677777778
