ID SENTENÇA ,SENTENÇA ,ID EXTRAÇÃO ,ARG1 ,REL ,ARG2 ,COERÊNCIA ,MINIMALIDADE ,MÓDULO SUJEITO ,MÓDULO RELAÇÃO ,MÓDULO ARG2,SISTEMA
1,"Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ",1.0,Arraiá de a Xuxa , foi a décima turnê,de a apresentadora e cantora Xuxa ,,,1,1,1,mquni
,,2.0,Arraiá de a Xuxa , foi a décima turnê,de a apresentadora ,,,1,1,2,mquni
,,3.0,Arraiá de a Xuxa , foi a décima turnê,de cantora Xuxa ,,,1,1,2,mquni
,,4.0,cantora , é,Xuxa ,,,1,3,3,mquni
,,5.0,o álbum , é,Arraiá de a Xuxa ,,,1,3,3,mquni
,,6.0,Arraiá de a Xuxa , foi,a décima turnê ,,,1,5,1,mquni
,,7.0,Arraiá de a Xuxa , foi,de a apresentadora e cantora Xuxa ,,,1,5,1,mquni
2,O World Fantasy Award é entregue durante o evento . ,1.0,O World Fantasy Award , é,entregue durante o evento ,,,1,1,1,mquni
3,"en o norte se inicia en a tríplice fronteira de os dois países com o sul de Burkina Faso e vai até o sul , en o porto ganês de Beyin , en o litoral de o Golfo de a Guiné ( Oceano Atlântico ) . ",1.0,o Golfo de a Guiné , é,( Oceano Atlântico ,,,1,3,3,mquni
4,"De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ",1.0,Marcondes , conquista,logo a afeição de Pedroca ,,,1,1,1,mquni
,,2.0,Marcondes , conquista,a afeição de Pedroca De início ,,,1,1,1,mquni
5,"Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ",1.0,Twin Shadow , é o nome,artístico de músico americano ,,,1,1,1,mquni
,,2.0,Twin Shadow , é o nome,artístico de músico americano George Lewis Jr ,,,1,1,1,mquni
,,3.0,Twin Shadow , é o nome,de músico americano ,,,1,1,0,mquni
,,4.0,Twin Shadow , é o nome,George Lewis Jr ,,,1,1,0,mquni
,,5.0,Twin Shadow , cresceu,en o Brooklyn ,,,1,2,1,mquni
,,6.0,Twin Shadow , cresceu,"en o Brooklyn em Nova Iorque , Estados Unidos ",,,1,2,1,mquni
,,7.0,Twin Shadow , cresceu,"em Nova Iorque , Estados Unidos ",,,1,2,0,mquni
,,8.0,o nome artístico de músico americano , é,George Lewis Jr ,,,1,3,3,mquni
,,9.0,Nova Iorque , é,Estados Unidos ,,,1,3,3,mquni
,,10.0,Twin Shadow , é,o nome artístico ,,,1,5,1,mquni
6,"Para ganhar a confiança de Sophie de volta , Krusty tenta recuperar o violino de a residência de Fat Tony com a ajuda de Homer . ",1.0,Krusty , tenta,recuperar o violino de a residência de Fat Tony ,,,1,1,1,mquni
,,2.0,Krusty , tenta,recuperar o violino de a residência de Fat Tony com a ajuda de Homer ,,,1,1,1,mquni
,,3.0,Krusty , tenta,recuperar o violino de a residência de Fat Tony com a ajuda de Homer Para ganhar a confiança de Sophie de volta ,,,1,1,1,mquni
7,Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 ) foi uma atriz britânica de cinema e teatro . ,1.0,Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 , foi uma atriz,britânica de cinema e teatro ,,,1,1,1,mquni
,,2.0,Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 , foi uma atriz,de cinema e teatro ,,,1,1,0,mquni
,,3.0,Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 , foi uma atriz,britânica de cinema ,,,1,1,2,mquni
,,4.0,Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 , foi uma atriz,britânica de teatro ,,,1,1,2,mquni
,,5.0,Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 , foi,uma atriz britânica ,,,1,5,1,mquni
8,"Sua dispersão é uniforme , mas em baixa densidade , tanto em formações primárias quanto secundárias . ",1.0,Sua dispersão , é,uniforme ,,,1,1,1,mquni
,,2.0,Sua dispersão , é,"uniforme , mas em baixa densidade , tanto em formações primárias quanto secundárias ",,,1,1,1,mquni
,,3.0,Sua dispersão , é,"uniforme , mas em baixa densidade , tanto em formações primárias ",,,1,1,2,mquni
,,4.0,Sua dispersão , é,"uniforme , mas em baixa densidade , tanto em formações secundárias ",,,1,1,2,mquni
9,"Horntown é uma cidade localizada en o estado norte - americano de Oklahoma , en o Condado de Hughes . ",1.0,Horntown , é,uma cidade ,,,1,5,1,mquni
10,O Presidente de a África de o Sul é o chefe de Estado e de governo de a nação sul - africana . ,1.0,O Presidente de a África de o Sul , é o chefe,de Estado e de governo de a nação sul - africana ,,,1,1,1,mquni
,,2.0,O Presidente de a África de o Sul , é o chefe,de Estado ,,,1,1,2,mquni
,,3.0,O Presidente de a África de o Sul , é o chefe,de governo de a nação sul - africana ,,,1,1,2,mquni
,,4.0,O Presidente de a África de o Sul , é,o chefe ,,,1,5,1,mquni
,,5.0,O Presidente de a África de o Sul , é,de Estado e de governo de a nação sul - africana ,,,1,5,1,mquni
11,Foi desenvolvido como PRTe de o programa Oko de satélites artificiais . ,1.0,o programa , é,Oko ,,,1,3,3,mquni
12,"en a década de 1950 , quando já se tinha a a disposição uma nova instrumentação , especialmente foguetes e sismógrafos , inspiraram a o cientista norte - americano Lloyd Berkner a propor um terceiro Ano Polar . ",1.0,uma nova instrumentação , quando já se tinha,a a disposição ,,,1,1,1,mquni
,,2.0,uma nova instrumentação , quando já se tinha,en a década de 1950 ,,,1,1,1,mquni
,,3.0,o cientista norte - americano , é,Lloyd Berkner ,,,1,3,3,mquni
13,As filmagens começaram em 11 de setembro de 2011 . ,1.0,As filmagens , começaram,em 11 de setembro de 2011 ,,,1,1,1,mquni
14,Dalmau IV de Rocabertí Visconde de Rocabertí foi e Duque substituto en o Ducado de Atenas entre 1381 e 1388 . ,1.0,Dalmau IV de Rocabertí Visconde de Rocabertí , foi,e Duque ,,,1,1,1,mquni
15,"Tal percepção é visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco , quando notam a limpeza e organização presente en a cultura de o povo local . ",1.0,Tal percepção , é,visível por quem transita por a principal via de a cidade de Canindé de São Francisco ,,,1,1,1,mquni
,,2.0,Tal percepção , é,visível por quem transita por a principal via de a cidade de Canindé de São Francisco e condiz com a impressão que os visitantes de os mais diversos estados brasileiros têm a o visitar os cânions de o Rio São Francisco ,,,1,1,1,mquni
,,3.0,quem , transita,por a principal via de a cidade de Canindé de São Francisco ,,,1,1,1,mquni
