 "ID SENTENÇA" ; "SENTENÇA" ; "ID EXTRAÇÃO" ; "ARG1" ; "REL" ; "ARG2" ; "COERÊNCIA" ; "MINIMALIDADE" ; "MÓDULO SUJEITO" ; "MÓDULO RELAÇÃO" ; "MÓDULO ARG2";
"1";"Arraiá de a Xuxa foi a décima turnê de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa . ";"1.0";"Arraiá de a Xuxa ";" foi a décima turnê";"de a apresentadora e cantora Xuxa ";"";"";"1";"1";"1";
"";"";"2.0";"Arraiá de a Xuxa ";" foi a décima turnê";"de a apresentadora e cantora Xuxa , baseada en o álbum Arraiá de a Xuxa ";"";"";"1";"1";"1";
"";"";"3.0";"Arraiá de a Xuxa ";" foi a décima turnê";"baseada en o álbum Arraiá de a Xuxa ";"";"";"1";"1";"0";
"";"";"4.0";"Arraiá de a Xuxa ";" foi a décima turnê";"de a apresentadora ";"";"";"1";"1";"2";
"";"";"5.0";"Arraiá de a Xuxa ";" foi a décima turnê";"de cantora ";"";"";"1";"1";"2";
"";"";"6.0";"a apresentadora ";" é";"Xuxa ";"";"";"1";"3";"3";
"";"";"7.0";"o álbum ";" é";"Arraiá de a Xuxa ";"";"";"1";"3";"3";
"";"";"8.0";"Arraiá de a Xuxa ";" foi";"a décima turnê ";"";"";"1";"5";"1";
"";"";"9.0";"Arraiá de a Xuxa ";" foi";"de a apresentadora e cantora ";"";"";"1";"5";"1";
"2";"O World Fantasy Award é entregue durante o evento . ";"1.0";"O World Fantasy Award ";" é entregue";"durante o evento ";"";"";"1";"1";"1";
"3";"en o norte se inicia en a tríplice fronteira de os dois países com o sul de Burkina Faso e vai até o sul , en o porto ganês de Beyin , en o litoral de o Golfo de a Guiné ( Oceano Atlântico ) . ";"1.0";"o Golfo de a Guiné ";" é";"( Oceano Atlântico ) ";"";"";"1";"3";"3";
"4";"De início recebido com frieza por a família , Marcondes conquista logo a afeição de Pedroca “ procurando contentá - lo em todos os desejos , prestando - se a as suas pequenas exigências ” e , com seu jeito de boêmio , seus ares “ dramáticos de d. ";"";"";"";"";"";"";"";"";
"5";"Twin Shadow é o nome artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos . ";"1.0";"Twin Shadow ";" é o nome";"artístico de músico americano George Lewis Jr ";"";"";"1";"1";"1";
"";"";"2.0";"Twin Shadow ";" é o nome";"artístico de músico americano George Lewis Jr nascido en a República Dominicana ";"";"";"1";"1";"1";
"";"";"3.0";"Twin Shadow ";" é o nome";"artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 ";"";"";"1";"1";"1";
"";"";"4.0";"Twin Shadow ";" é o nome";"artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn ";"";"";"1";"1";"1";
"";"";"5.0";"Twin Shadow ";" é o nome";"artístico de músico americano George Lewis Jr nascido en a República Dominicana em 1983 e cresceu en o Brooklyn em Nova Iorque , Estados Unidos ";"";"";"1";"1";"1";
"";"";"6.0";"Twin Shadow ";" é o nome";"de músico americano George Lewis Jr ";"";"";"1";"1";"0";
"";"";"7.0";"Twin Shadow ";" é o nome";"nascido en a República Dominicana ";"";"";"1";"1";"0";
"";"";"8.0";"Twin Shadow ";" é o nome";"nascido em 1983 ";"";"";"1";"1";"0";
"";"";"9.0";"Twin Shadow ";" é o nome";"nascido e cresceu en o Brooklyn ";"";"";"1";"1";"0";
"";"";"10.0";"Twin Shadow ";" é o nome";"nascido e cresceu em Nova Iorque , Estados Unidos ";"";"";"1";"1";"0";
"";"";"11.0";"músico americano ";" é";"George Lewis Jr ";"";"";"1";"3";"3";
"";"";"12.0";"Nova Iorque ";" é";"Estados Unidos ";"";"";"1";"3";"3";
"";"";"13.0";"Twin Shadow ";" é";"o nome artístico ";"";"";"1";"5";"1";
"6";"Para ganhar a confiança de Sophie de volta , Krusty tenta recuperar o violino de a residência de Fat Tony com a ajuda de Homer . ";"1.0";"Krusty ";" tenta";"recuperar o violino ";"";"";"1";"1";"1";
"";"";"2.0";"Krusty ";" tenta";"recuperar o violino de a residência de Fat Tony ";"";"";"1";"1";"1";
"";"";"3.0";"Krusty ";" tenta";"recuperar o violino de a residência de Fat Tony com a ajuda de Homer ";"";"";"1";"1";"1";
"";"";"4.0";"Krusty ";" tenta";"recuperar o violino de a residência de Fat Tony com a ajuda de Homer Para ganhar a confiança de Sophie ";"";"";"1";"1";"1";
"";"";"5.0";"Krusty ";" tenta";"recuperar o violino de a residência de Fat Tony com a ajuda de Homer Para ganhar a confiança de Sophie de volta ";"";"";"1";"1";"1";
"7";"Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 ) foi uma atriz britânica de cinema e teatro . ";"1.0";"Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 ) ";" foi uma atriz";"britânica de cinema e teatro ";"";"";"1";"1";"1";
"";"";"2.0";"Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 ) ";" foi uma atriz";"de cinema e teatro ";"";"";"1";"1";"0";
"";"";"3.0";"Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 ) ";" foi uma atriz";"britânica de cinema ";"";"";"1";"1";"2";
"";"";"4.0";"Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 ) ";" foi uma atriz";"britânica de teatro ";"";"";"1";"1";"2";
"";"";"5.0";"Kitty Gordon ( 22 de abril de 1878 – 26 de maio de 1974 ) ";" foi";"uma atriz britânica ";"";"";"1";"5";"1";
"8";"Sua dispersão é uniforme , mas em baixa densidade , tanto em formações primárias quanto secundárias . ";"1.0";"Sua dispersão ";" é";"uniforme , mas em baixa densidade , tanto em formações primárias quanto secundárias ";"";"";"1";"1";"1";
"";"";"2.0";"Sua dispersão ";" é";"uniforme ";"";"";"1";"1";"2";
"";"";"3.0";"Sua dispersão ";" é";"em baixa densidade ";"";"";"1";"1";"2";
"";"";"4.0";"Sua dispersão ";" é";"em formações quanto secundárias ";"";"";"1";"1";"2";
"9";"Horntown é uma cidade localizada en o estado norte - americano de Oklahoma , en o Condado de Hughes . ";"1.0";"Horntown ";" é uma cidade";"localizada en o estado norte - americano de Oklahoma ";"";"";"1";"1";"1";
"";"";"2.0";"Horntown ";" é uma cidade";"localizada en o estado norte - americano de Oklahoma , en o Condado de Hughes ";"";"";"1";"1";"1";
"";"";"3.0";"Horntown ";" é uma cidade";"localizada , en o Condado de Hughes ";"";"";"1";"1";"0";
"";"";"4.0";"Horntown ";" é";"uma cidade localizada en o estado norte - americano ";"";"";"1";"5";"1";
"10";"O Presidente de a África de o Sul é o chefe de Estado e de governo de a nação sul - africana . ";"1.0";"O Presidente de a África de o Sul ";" é o chefe";"de Estado e de governo ";"";"";"1";"1";"1";
"";"";"2.0";"O Presidente de a África de o Sul ";" é o chefe";"de Estado e de governo de a nação sul - africana ";"";"";"1";"1";"1";
"";"";"3.0";"O Presidente de a África de o Sul ";" é o chefe";"de a nação sul - africana ";"";"";"1";"1";"0";
"";"";"4.0";"O Presidente de a África de o Sul ";" é o chefe";"de Estado ";"";"";"1";"1";"2";
"";"";"5.0";"O Presidente de a África de o Sul ";" é o chefe";"de governo ";"";"";"1";"1";"2";
"";"";"6.0";"O Presidente de a África de o Sul ";" é";"o chefe ";"";"";"1";"5";"1";
"";"";"7.0";"O Presidente de a África de o Sul ";" é";"de Estado e de governo ";"";"";"1";"5";"1";
"11";"Foi desenvolvido como parte de o programa Oko de satélites artificiais . ";"1.0";"o programa ";" é";"Oko de satélites artificiais ";"";"";"1";"3";"3";
